,Document,Topic,Name,CustomName,Top_n_words,Representative_document
12,mola ihtiyaç_karşıla lavabo dönen ekstra ön cam temizle gerekli hijyen kural maksimum uyul teşekkür,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
13,abartı,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
14,işle belediye gönül rahat alabil,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
15,personel kibar ilgili tuvalet tertemiz teşekkür,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
16,tuvalet,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,True
17,düzen güler_yüz hizmet bulun lokasyon başka,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
18,wc mescit kıymet ilginç oto oldukça verim,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
19,personel güleryüz ihtiyaç park_yer mevcut yıka merkez konum güzel,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
20,adım ön,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
21,den gün aracı,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
22,güler_yüz tuvalet tavsiye,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
23,hizmet,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
24,kalabalık eleman hız güleryüz,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
25,tercih başka_yer mecbur kal kalite kalite wc si,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
26,heryer kalite hizmet istanbul i şimdi ön cam temiz,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
27,aytaç akın müdür teşekkür ufak sıkıntı yıka_bölüm razı el geleni yardımcı sıkıntı çöz razı yardımcı konu teşekkür,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
28,isim sor unut yardımcı hava_basınç kontrol yardımsever yorum oku hyundai accent admire beyaz teşekkür,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
29,hizmet kalite sür,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
30,bariz şikayet olumlu tuvalet çoğu yer devam yer işçi güzel tutum,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
31,genel_olarak memnun yıl mümkün ev_yakın şimdi sorun_yaşa görev ilgili güzel karşıla hizmet teşekkür etmek iste,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
32,olma sevin davran gerçekten kas olarak genel piyasa uygun sıkıntı taraf geç trafik zorla,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
33,göz alıcı uygun yer,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
34,kalite güven,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
35,güzel hizmet personel tuvalet,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,True
36,memnun,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
37,sürekli tuvalet teşekkür,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
38,ba hijyenik içersi güzel ürün süper,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
39,özel katkı indirim hediye,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
40,ihtiyaç şe,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
41,segment düzen temiz personel kalite favori,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
42,hizmet güzel arkadaşça,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
43,yakış işle olma öğret hizmet ederken saygı,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
44,söz şe düzen ferah özellikle tuvalet inan işle dur sürekli tercih,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
45,opel den sıkıntı_yaşa mecbur kal başka,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
46,kalite güven,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
47,sev,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
48,yıl vazgeç temiz personel davran fazlasıyla uyarı çare yanlış önce görev başla san dış detay temiz arkadaş önce göztepe ofis görev döşeme mahvet yarı doğru gündüz deformasyon teşhis edebil göster döşeme sağ durum yaşa önce emanet temiz döşeme parçala görsel paylaş dış temiz uzak dur tavsiye,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
49,ucuz hijyen güleryüz,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
50,kalite yüksek düşün önem yerli,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
51,göztepe den temiz alaka üzeri,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
52,personel özen ali kardeş teşekkür,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
53,arkadaş güler_yüz güzel hizmet,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
54,üst seviye temiz hijyen olarak,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
55,yerli_mil geri teferruat,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
56,kalite temiz hamid grup hamid olunca herşey beş_yıldız,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
57,güzel bağımsız olarak ucuz güzel kahve,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
58,lavabo kullan düzen,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
59,klasik ilgili,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
60,güven hizmet yıka köpük kurula makina ula hizmet güven yer,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
61,kalite lavabo bakım teşekkür,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
62,güzel önem tuvalet tuvalet kullanım kolay tuvalet temiz tamam başarı tebrik,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
63,yıka_makine sev,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
64,düzen personel kibar teşekkür,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
65,kalite güleryüz,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
66,favori,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
67,gerçekten kalite güler_yüz hizmet sağol görev arkadaş yarın ucuz deme güzel hareket ti gerçekten,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
68,güleryüz hizmet güven tesis işyeri hisset,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
69,bulgur diyebil,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
70,örnek göster,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
71,temiz güven,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
72,güzel uğra,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
73,adem beyin müzik zevk güzel,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
74,net,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
75,yorum yok,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
76,dayı bak,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
77,personel kalite müşteri ilgilen güzel,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
78,sanayi site giriş hizmet_sun,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
79,hizmet güzel kalite teşekkür,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,True
80,kalite güvence kullanım gerçekten,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
81,den güler_yüz herkes meslek,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
82,kalite,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
83,gerçekten hijyenik beş_yıldız,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
84,güleryüz personel yönetim teşekkür,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
85,tuvalet ilgili yet,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
86,dert deva kalite,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
87,personel ilgili düş ihtiyaç uğra,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
88,hizmet kalite ilgi_alaka,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
89,düzen yer,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
90,iyi güler_yüz hizmet,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
91,yer kalite sus hiçbir yer kalite titiz den ödün tebrik,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
92,yer düzen disiplin,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
93,güzel bakım işle,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
94,istoç buluş nokta yer işlek yer,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
95,özel yönet toyota corolla kullan öncelik tuvalet temiz konu numara almak tercih motor çeki dene tercih ofis,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
96,alım sonra yıka ilgili,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
97,bölge uygun diyebil personel ilgili güler_yüz,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
98,sakın personel ilgili kalabalık olmadık sinir yapıt,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
99,hizmet çevre wc hizmet dolayı teşekkür saygı sun,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
100,personel ilgili özellikle yıka servis tercih biryer yeterli sayı hava yeterli,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
101,kalite tartış olma gerek,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
102,wc süper,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
103,güleryüz hizmet hediye eşya reyon wc yıka başarı ad üst adres,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
104,mükemmel içeri şıkır şıkır yer atatürk eşya güzel kalite ürün mevcut starbucks otomat dolap soğuk ayar,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
105,acil durum yer şarj kal ev uzak şarj kablo almak içeri şarj kablo den alel şarj bit konu yakın bak şarj kablo içeri yanıl teşekkür başka gün kurtar tekrar teşekkür,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
106,devam yer,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
107,güzel iletişim hizmet güzel,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
108,kalite uygun,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
109,hijyen müşteri_memnuniyet,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
110,göl kenar salaş güzel,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
111,uygun politika değiş san,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
112,görev güler_yüz kibar sağol,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
113,genel_olarak bur üst yer yıka yıka yıka_makine yıka çeşit tuvalet bekle alan üst ulaşım,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
114,uğrak yer,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
115,hijyen güler_yüz personel inan wc teşekkür,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
116,güzel ferah ortam klasik tebrik,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
117,tuvalet kullan başar ürün hijyenik,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
118,ücret oto_yıka alabil,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
119,üst yıka_ücret tercih,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
120,nezihe kalite hizmet,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
121,alışveriş şehit gazi aile çocuk katkı,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
122,gerçek yer kalite muhteşem kıyasla,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
123,güleryüz hizmet genel_olarak hariç,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
124,tercih,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
125,mekan düzgün görev nazik ehli bölüm güzel nazik wc tertemiz,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
126,sev sev yad sev sev gerçek takıntı ikamet semt yakın tane zor olmadık zor_kal süreç başka ara seyahat yüz gülümse aile,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
127,güler_yüz samimiyet temiz,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
128,hassasiyet um,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
129,özellikle tuvalet,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
130,ziyade mükemmel iletişim saygı kalite şekil güç göster sev güleryüz pozitif yansı say kübra hanım teşekkür hayat başarı dile,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
131,kağıthane cendere caddesi üzeri bulun kağıthane ayazağa istikamet doğru gider sağ taraf kal sanayi mahallesi şirintepe mahallesi sapak bulun ara bakım alın sür şimdi yenile açıl başarı dile,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
132,in standart hizmet güven satıcı hariç,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
133,personel_güler yüz ilgili,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
134,ötebil belir aksi kapak koca yaz kopar takla atso,0,0_yıka_işle_arkadaş_bekle,tesis,yıka - işle - arkadaş - bekle - su - değil - yer - köpük - müşteri - personel,False
135,abidei hürriyet caddesi bulun düzen dış navigasyon yer taksi tarif nokta,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
136,tuvalet mevcut,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
137,alma tercih edil yer tercih yerli ülke bird wc etki,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
138,güven ye tuvalet teşekkür yanlız ye çare bulun alınca boğ yeme afalla,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
139,personel ilgi güler_yüz has numara ekip oluş öyle içten öyle hoş yıllık kar hoş personel can gönül teşekkür,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
140,yardım sev üç tekerlek elektrik bisiklet em şarj izin son sınırsız razı inşallah,1,1_hizmet_güzel_kalite_personel,personel,hizmet - güzel - kalite - personel - güler_yüz - teşekkür - yardımcı - güleryüz - yer - ilgili,False
141,uç katıl katkı motor süper,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
142,düzen tertemiz teşekkür,2,2_tuvalet_wc_yer_temiz,genel_ihtiyac,tuvalet - wc - yer - temiz - düzen - güzel - tesis - gerçekten - tertemiz - ürün,False
